date,open,high,low,close,volume
2022-03-23 09:00:00,15.423,15.951,15.114,15.834,1366420.2
2022-03-24 09:00:00,15.834,16.436,15.607,16.165,1886427
2022-03-25 09:00:00,16.165,16.457,15.458,15.582,1503372
2022-03-26 09:00:00,15.582,15.952,15.482,15.838,947835.8
2022-03-27 09:00:00,15.838,16.909,15.616,16.865,1719030.8
2022-03-28 09:00:00,16.865,17.38,16.315,16.499,2246764
2022-03-29 09:00:00,16.499,17.541,16.464,16.985,2197384.2999999998
2022-03-30 09:00:00,16.985,17.596,16.524,17.229,2279679.7999999998
2022-03-31 09:00:00,17.229,18.06,16.648,16.918,3313638.6000000001
2022-04-01 09:00:00,16.918,17.38,16.155,17.361,2192967.7999999998
2022-04-02 09:00:00,17.361,17.881,17.107,17.399,1989090.7
2022-04-03 09:00:00,17.399,18.333,17.164,18.082,1765438.6000000001
2022-04-04 09:00:00,18.082,18.082,16.821,17.524,1656120.8
2022-04-05 09:00:00,17.524,17.665,16.653,16.742,1208600.3999999999
2022-04-06 09:00:00,16.742,16.786,15.266,15.418,2644370.6000000001
2022-04-07 09:00:00,15.418,15.883,15.093,15.744,1571432.3999999999
2022-04-08 09:00:00,15.744,15.906,15.014,15.132,1415256
2022-04-09 09:00:00,15.132,15.525,15.113,15.427,1054568.3
2022-04-10 09:00:00,15.427,15.92,15.155,15.218,1006249.4
2022-04-11 09:00:00,15.218,15.263,13.464,13.755,3067761.6000000001
2022-04-12 09:00:00,13.755,14.313,13.633,13.973,1900940.6000000001
2022-04-13 09:00:00,13.973,14.217,13.671,14.178,1442013
2022-04-14 09:00:00,14.178,14.33,13.324,13.64,1507466.6000000001
2022-04-15 09:00:00,13.64,14.198,13.623,14.105,1192919.3999999999
2022-04-16 09:00:00,14.105,14.267,13.824,14.148,847798.1
2022-04-17 09:00:00,14.148,14.612,13.61,13.72,1442502.5
2022-04-18 09:00:00,13.72,14.056,13.134,14.049,1938798.6000000001
2022-04-19 09:00:00,14.049,14.406,13.821,14.236,1091124.1000000001
2022-04-20 09:00:00,14.236,14.491,13.7,14.021,2088502.3
2022-04-21 09:00:00,14.021,14.379,13.353,13.575,1457511.5
2022-04-22 09:00:00,13.575,13.884,13.467,13.572,1102182.8
2022-04-23 09:00:00,13.572,13.689,13.212,13.312,730899.8
2022-04-24 09:00:00,13.312,13.643,13.189,13.266,972437.3
2022-04-25 09:00:00,13.266,13.506,12.524,13.435,2130382.6000000001
2022-04-26 09:00:00,13.435,13.506,12.128,12.368,1535996.2
2022-04-27 09:00:00,12.368,12.809,12.302,12.741,1284038.1000000001
2022-04-28 09:00:00,12.741,12.99,12.392,12.657,1151644
2022-04-29 09:00:00,12.657,12.731,11.827,11.978,1012793.8
2022-04-30 09:00:00,11.978,12.244,10.629,10.95,1731832.6000000001
2022-05-01 09:00:00,10.95,11.476,10.783,11.294,1511827.2
2022-05-02 09:00:00,11.294,11.437,10.757,11.159,1375811.8999999999
2022-05-03 09:00:00,11.159,11.493,10.789,11.118,1239167.2
2022-05-04 09:00:00,11.118,12.2,11.085,12.193,1600058.7
2022-05-05 09:00:00,12.193,12.285,10.611,10.905,3068432.7999999998
2022-05-06 09:00:00,10.905,11.018,10.389,10.777,2481062.1000000001
2022-05-07 09:00:00,10.777,10.842,9.986,10.21,1449770.1000000001
2022-05-08 09:00:00,10.21,10.37,9.834,9.99,2234852.1000000001
2022-05-09 09:00:00,9.99,10.162,7.997,8.085,6314619.7999999998
2022-05-10 09:00:00,8.085,9.319,7.88,8.577,4798782.5999999996
2022-05-11 09:00:00,8.577,8.84,6.528,6.936,6927930.2000000002
2022-05-12 09:00:00,6.936,7.478,5.522,6.559,6796191.4000000004
2022-05-13 09:00:00,6.559,7.704,6.471,7.145,3012736.5
2022-05-14 09:00:00,7.145,7.436,6.628,7.251,2606705.1000000001
2022-05-15 09:00:00,7.251,7.98,7.008,7.956,1404843.5
2022-05-16 09:00:00,7.956,7.959,7.152,7.412,1821644.2
2022-05-17 09:00:00,7.412,7.964,7.287,7.715,1737802.3
2022-05-18 09:00:00,7.715,7.813,6.773,6.798,1549244.7
2022-05-19 09:00:00,6.798,7.258,6.639,7.21,1711194.8999999999
2022-05-20 09:00:00,7.21,7.36,6.745,6.87,2028472.7
2022-05-21 09:00:00,6.87,7.114,6.761,7.047,775706.3
2022-05-22 09:00:00,7.047,7.401,6.907,7.324,1614648
2022-05-23 09:00:00,7.324,7.68,6.975,7.023,2121728.2000000002
2022-05-24 09:00:00,7.023,7.299,6.711,7.234,1693133.3999999999
2022-05-25 09:00:00,7.234,7.395,6.934,6.954,1514962.3999999999
2022-05-26 09:00:00,6.954,7.091,6.197,6.565,3058691.3999999999
2022-05-27 09:00:00,6.565,6.704,6.206,6.283,2506924.3999999999
2022-05-28 09:00:00,6.283,6.653,6.204,6.561,1805589.5
2022-05-29 09:00:00,6.561,6.745,6.336,6.71,1247737.6000000001
2022-05-30 09:00:00,6.71,7.518,6.643,7.455,2120150.5
2022-05-31 09:00:00,7.455,7.73,7.166,7.585,1780936.8
2022-06-01 09:00:00,7.585,7.792,6.75,6.93,2578539.2000000002
2022-06-02 09:00:00,6.93,7.241,6.807,7.19,2289867.7999999998
2022-06-03 09:00:00,7.19,7.217,6.674,6.852,2356430.7000000002
2022-06-04 09:00:00,6.852,7.433,6.672,7.404,1878208.3
2022-06-05 09:00:00,7.404,7.889,7.241,7.641,5625790.2000000002
2022-06-06 09:00:00,7.641,8.193,7.614,7.976,5661306.2999999998
2022-06-07 09:00:00,7.976,8.992,7.296,8.69,9414683.5
2022-06-08 09:00:00,8.69,8.983,8.223,8.698,9873278.5999999996
2022-06-09 09:00:00,8.698,9.673,8.483,9.268,12051400.0999999996
2022-06-10 09:00:00,9.268,9.533,7.991,8.03,14284801.5999999996
2022-06-11 09:00:00,8.03,8.415,6.929,7.038,16673127.4000000004
2022-06-12 09:00:00,7.038,7.138,6.252,6.26,14017727.1999999993
2022-06-13 09:00:00,6.26,6.337,5.293,5.924,27391220.1999999993
2022-06-14 09:00:00,5.924,6.872,5.387,6.723,19145798.3999999985
2022-06-15 09:00:00,6.723,7.375,5.832,7.321,23849343
2022-06-16 09:00:00,7.321,7.499,6.2,6.355,11211910.6999999993
2022-06-17 09:00:00,6.355,6.734,6.257,6.36,7813658.5
